10 10327
2510 2095892
5010 6232178
7510 8065136
10010 8848326
12510 9604354
15010 10617441
17510 12139441
20010 13830386
22510 15598110
25010 17390607
27510 19098567
30010 20862764
32510 22619699
35010 24569833
37510 26083884
40010 27950458
42510 29745365
45010 31984777
47510 33189425
50010 34876775
52510 36957168
55010 38259575
57510 40175104
60010 41981212
62510 43646017
65010 45140439
67510 46912041
70010 49004039
72510 50769405
75010 52491109
77510 53922186
80010 55578008
82510 57469266
85010 59390667
87510 61150067
90010 62883852
92510 64923313
95010 66457962
97510 68709922
